sysname,chassis,source_ip,interface,lag,port,port_type,queue_group_port,address,isis,mpls,rsvp,slope-policy,egress-scheduler-policy,queue-policy,qos,queue-group
TIJMTX-BCN1015-CA,7750,10.190.0.0,To-REVOLUCION-GAM,5,10/2/1,xgige,IPMEAN-QG:10G,10.190.32.19/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TIJMTX-BCN1015-CA,7750,10.190.0.0,To-TIJ-JUAREZ,15,1/2/3,xgige,IPMEAN-QG:10G,10.190.33.134/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,,
TIJMTX-BCN1015-CA,7750,10.190.0.0,To-TIJ-M5-CA,,4/1/1,cgige,IPMEAN-QG:100G,10.190.33.112/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:100G
TIJMTX-BCN1015-CA,7750,10.190.0.0,To-TIJUANA-CBM,10,1/1/2,xgige,,10.190.32.13/31,0,1,1,default,,default,,
TIJMTX-BCN1015-CA,7750,10.190.0.0,To-TIJUANA-EAM01,,1/1/4,xgige,IPMEAN-QG:10G,10.190.32.233/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TIJMTX-BCN1015-CA,7750,10.190.0.0,To-TIJUANA-WAM,1,10/1/1,xgige,IPMEAN-QG:10G,10.190.32.0/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TIJMTX-BCN1015-CA,7750,10.190.0.0,system,,,,,10.190.0.0/32,,1,1,,,,,
CULMTX-CUL011-CA,7750,10.190.0.100,To-CUL-R20-EA,4,1/2/1,xgige,IPMEAN-QG:10G,10.190.35.124/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CA,7750,10.190.0.100,To-CULIACAN-CBM,1,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.0/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CA,7750,10.190.0.100,To-CULIACAN-EAM01,,10/2/4,xgige,IPMEAN-QG:10G,10.190.34.6/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
