sysname,chassis,source_ip,l2vpn,service_id,service_name,customer_id,sap,ingress_qos_id,egress_qos_id,buffer_min,buffer_max,resv_min,resv_max
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,259291,VPLS service-6429 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/8,10,10,,,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,267594,VPLS service-6424 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/9,10,10,,,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589591,epipe service-6421 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/6,10,10,,,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589592,epipe service-6422 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/7,10,10,,,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,589593,epipe service-6423 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/10,10,10,,,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/4,10,10,,,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,vpls,2384346,VPLS service-6425 MAZMTX-MAZ220-GA (10.190.0.106),2,5/1/5,10,10,,,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,232001, ## MGW - OYM ##,4,2/1/1,10,10,,,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,232001, ## MGW - OYM ##,4,2/1/2,10,10,,,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,232002, ## MGW - SIGNALING ##,4,2/1/3,10,10,,,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,232002, ## MGW - SIGNALING ##,4,2/1/4,10,10,,,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,232003, ## MGW - MEDIA ##,4,2/1/5,10,10,,,,
MAGIST-GML120-GA,7750,10.190.0.111,vpls,232003, ## MGW - MEDIA ##,4,2/1/6,10,10,,,,
MOCMTX-LML169-GA,7750,10.190.0.113,vpls,238055,VMAN_PASPORT_CUL-MOCHIS,2,4/1/8,10,10,,,,
NOGALE-NOG001-GA,7750,10.190.0.118,vpls,200099,vpls-GESTION-MDU,2,3/1/4,1,1,,,,
NOGALE-NOG001-GA,7750,10.190.0.118,vpls,232030,VPLS service-6577 NOGALE-NOG001-GA (10.190.0.118),2,4/1/3,1,1,,,,
NOGALE-NOG001-GA,7750,10.190.0.118,vpls,238891,To-MONITOREO-FOM,2,4/1/10,1,1,,,,
CULMTX-CUL011-EA,7750,10.190.0.151,vpls,100,rvpls-100,2,2/1/7,50,50,,,,
CULMTX-CUL011-EA,7750,10.190.0.151,vpls,100,rvpls-100,2,2/1/8,50,50,,,,
CULMTX-CUL011-EB,7750,10.190.0.152,vpls,100,rvpls-100,2,2/1/7,50,50,,,,
CULMTX-CUL011-EB,7750,10.190.0.152,vpls,100,rvpls-100,2,2/1/8,50,50,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,222249,vpls-Physical_sec_oym,2,1/1/21,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,222250,Blaulabs,2,1/1/14,1,1,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,222250,Blaulabs,2,1/1/16,1,1,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,222250,Blaulabs,2,1/2/3,1,1,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,222250,Blaulabs,2,1/2/4,1,1,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,222250,Blaulabs,2,1/2/6,1,1,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,222250,Blaulabs,2,1/2/11,1,1,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,232030,VPLS service-6577 CULMTX-CUL011-EA (10.190.0.151),2,1/2/22,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,232030,VPLS service-6577 CULMTX-CUL011-EA (10.190.0.151),2,1/2/23,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238200,238200,2,2/1/2,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238201,238201,2,2/1/23,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238202,238202,2,2/1/25,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238203,238203,2,2/1/3,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238204,238204,2,2/1/4,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238205,238205,2,2/1/5,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238206,238206,2,2/1/6,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238208,238208,2,2/1/8,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238208,238208,2,2/1/9,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238208,238208,2,2/1/10,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238208,238208,2,2/1/11,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238209,238209,2,1/2/12,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238210,238210,2,2/1/12,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238211,238211,2,2/1/13,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238211,238211,2,2/1/14,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238211,238211,2,2/1/15,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238211,238211,2,2/1/16,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238212,238212,2,1/1/20,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238212,238212,2,2/1/17,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238212,238212,2,2/1/18,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,238220,O&M_SSU_2000,2,1/1/19,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,239095,VPLS service-4239 CULMTX-CUL011-SA (10.190.0.153),2,1/2/1,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,239096,VPLS service-4240 CULMTX-CUL011-SA (10.190.0.153),2,1/2/2,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,259291,259291,2,2/1/19,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,429089,429089,2,1/1/8,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,589591,589591,2,2/1/20,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,589592,589592,2,2/1/21,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,589593,epipe service-6423 CULMTX-CUL011-EA (10.190.0.151),2,1/2/21,10,10,,,,
CULMTX-CUL011-SA,7450,10.190.0.153,vpls,589594,To-MONITOREO-FOM,2,1/2/13,1,1,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,222230,222230,2,1/1/13,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,222250,Blaulabs,2,1/1/14,1,1,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,222250,Blaulabs,2,1/1/16,1,1,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,222250,Blaulabs,2,1/1/17,1,1,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,222250,Blaulabs,2,1/2/20,1,1,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,222250,Blaulabs,2,1/2/21,1,1,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,222250,Blaulabs,2,1/2/22,1,1,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238055,VMAN_PASPORT_CUL-MOCHIS,2,1/2/17,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238055,VMAN_PASPORT_CUL-MOCHIS,2,2/1/19,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238055,VMAN_PASPORT_CUL-MOCHIS,2,2/1/21,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238200,238200,2,2/1/2,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238201,238201,2,2/1/24,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238202,238202,2,2/1/26,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238203,238203,2,2/1/3,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238204,238204,2,2/1/4,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238205,238205,2,2/1/5,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238206,238206,2,2/1/6,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238208,238208,2,2/1/8,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238208,238208,2,2/1/9,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238208,238208,2,2/1/10,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238208,238208,2,2/1/11,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238209,238209,2,1/2/12,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238210,238210,2,2/1/12,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238210,238210,2,2/1/28,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/13,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/14,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/15,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/16,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/22,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/23,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/25,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238211,238211,2,2/1/27,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238212,238212,2,1/1/20,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238212,238212,2,2/1/17,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,238212,238212,2,2/1/18,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,259291,259291,2,2/1/29,10,10,,,,
CULMTX-CUL011-SB,7450,10.190.0.154,vpls,90004020,90004020,2,1/2/11,1,1,,,,
