Sysname,model,source,description
TIJMTX-BCN1015-CA,7750,10.190.0.0,standard_network_PS:no_rate_limit
TIJMTX-BCN1015-CB,7750,10.190.0.1,standard_network_PS:no_rate_limit
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,standard_network_PS:no_rate_limit
CULMTX-CUL011-CA,7750,10.190.0.100,standard_network_PS:no_rate_limit
CULMTX-CUL011-CB,7750,10.190.0.101,standard_network_PS:no_rate_limit
DIAMAN-CUL008-GA,7750,10.190.0.102,standard_network_PS:no_rate_limit
TV_AZT-CUL003-GA,7750,10.190.0.103,standard_network_PS:no_rate_limit
INDEPE-CUL002-GA,7750,10.190.0.104,standard_network_PS:no_rate_limit
CULGTA-IUSTB00921-WA,7750,10.190.0.105,standard_network_PS:no_rate_limit
MAZMTX-MAZ220-GA,7750,10.190.0.106,standard_network_PS:no_rate_limit
SOVADO-MAZ224-GA,7750,10.190.0.107,standard_network_PS:no_rate_limit
ZAPATA-MAZ222-GA,7750,10.190.0.108,standard_network_PS:no_rate_limit
GUAYMA-GUY480-GA,7750,10.190.0.109,standard_network_PS:no_rate_limit
ALAMOS-BCN1043-AA,7705,10.190.0.11,
OBRMTX-CDO531-GA,7750,10.190.0.110,standard_network_PS:no_rate_limit
MAGIST-GML120-GA,7750,10.190.0.111,standard_network_PS:no_rate_limit
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,standard_network_PS:no_rate_limit
MOCMTX-LML169-GA,7750,10.190.0.113,standard_network_PS:no_rate_limit
VILSOL-LML167-GA,7750,10.190.0.114,standard_network_PS:no_rate_limit
NAVOJO-NVJ468-GA,7750,10.190.0.115,standard_network_PS:no_rate_limit
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,standard_network_PS:no_rate_limit
NOGALE-NOG001-GA,7750,10.190.0.118,standard_network_PS:no_rate_limit
OBRGTA-IUSTB00924-WA,7750,10.190.0.119,standard_network_PS:no_rate_limit
ALAMOS-BCN1043-AB,7705,10.190.0.12,
HERMTX-HMO404-GA,7750,10.190.0.120,standard_network_PS:no_rate_limit
CULTUR-HMO437-GA,7750,10.190.0.121,standard_network_PS:no_rate_limit
NAVGTA-IUSTB00923-WA,7750,10.190.0.122,standard_network_PS:no_rate_limit
LAZCAR-HMO403-GA,7750,10.190.0.123,standard_network_PS:no_rate_limit
MCHGTA-IUSTB00934-WA,7750,10.190.0.124,standard_network_PS:no_rate_limit
LOMLIN-HMO400-GA,7750,10.190.0.126,standard_network_PS:no_rate_limit
GUAGTA-IUSTB00922-WA,7750,10.190.0.127,standard_network_PS:no_rate_limit
KINO-HMO429-GA,7750,10.190.0.128,standard_network_PS:no_rate_limit
NOGGTA-IUSTB00928-WA,7750,10.190.0.129,standard_network_PS:no_rate_limit
MARMOL-BCN1044-AA,7705,10.190.0.13,
HERMTX-HMO404-AA,7705,10.190.0.130,
LAZCAR-HMO403-AA,7705,10.190.0.131,
HERGTA-IUSTB00926-WA,7750,10.190.0.132,standard_network_PS:no_rate_limit
DIAMAN-CUL008-AA,7705,10.190.0.134,
TV_AZT-CUL003-AA,7705,10.190.0.135,
INDEPE-CUL002-AA,7705,10.190.0.136,
GUAYMA-GUY480-AA,7705,10.190.0.137,
MAGIST-GML120-AA,7705,10.190.0.138,
STAGTA-IUSTB00927-WA,7750,10.190.0.139,standard_network_PS:no_rate_limit
TECATE-BCN1037-AA,7705,10.190.0.14,
PPEGTA-IUSTB00935-WA,7750,10.190.0.140,standard_network_PS:no_rate_limit
OBRMTX-CDO531-AA,7705,10.190.0.141,
OBRMTX-CDO531-AB,7705,10.190.0.142,
MAZMTX-MAZ220-AA,7705,10.190.0.143,
MOCMTX-LML169-AA,7705,10.190.0.144,
NAVOJO-NVJ468-AA,7705,10.190.0.145,
NOGALE-NOG001-AA,7705,10.190.0.146,
SOVADO-MAZ224-AA,7705,10.190.0.147,
ZAPATA-MAZ222-AA,7705,10.190.0.148,
CABALL-BCN1009-GA,7750,10.190.0.15,standard_network_PS:no_rate_limit
CULMTX-CUL011-EA,7750,10.190.0.151,standard_network_PS:no_rate_limit
CULMTX-CUL011-EB,7750,10.190.0.152,standard_network_PS:no_rate_limit
CULMTX-CUL011-SA,7450,10.190.0.153,standard_network_PS:no_rate_limit
CULMTX-CUL011-SB,7450,10.190.0.154,standard_network_PS:no_rate_limit
CULMTX-CUL011-AA,7705,10.190.0.155,
CULMTX-CUL011-AB,7705,10.190.0.156,
CULMTX-CUL011-AC,7705,10.190.0.157,
PUEPEN-NOG010-AA,7705,10.190.0.159,
MORTVA-BCN1028-GA,7750,10.190.0.16,standard_network_PS:no_rate_limit
CUL-R20-EA,7750,10.190.0.160,standard_network_PS:no_rate_limit
CUL-R20-EB,7750,10.190.0.161,standard_network_PS:no_rate_limit
HER-R10-EA,7750,10.190.0.164,standard_network_PS:no_rate_limit
HER-R10-EB,7750,10.190.0.165,standard_network_PS:no_rate_limit
CBS-R11-EA,7750,10.190.0.168,standard_network_PS:no_rate_limit
CBS-R11-EB,7750,10.190.0.169,standard_network_PS:no_rate_limit
MELGTA-IUSTB00933-WA,7750,10.190.0.17,standard_network_PS:no_rate_limit
REVOLU-BCN1042-GA,7750,10.190.0.2,standard_network_PS:no_rate_limit
TIJMTX-BCN1015-EA,7750,10.190.0.20,standard_network_PS:no_rate_limit
CHIMTX-CHI100-CA,7750,10.190.0.200,standard_network_PS:no_rate_limit
PASITO-CHI106-GA,7750,10.190.0.202,standard_network_PS:no_rate_limit
FRESNO-CHI117-GA,7750,10.190.0.207,standard_network_PS:no_rate_limit
CHIGTA-IUSTB00930-WA,7750,10.190.0.208,standard_network_PS:no_rate_limit
TORMTX-TOR250-CA,7750,10.190.0.209,standard_network_PS:no_rate_limit
TIJMTX-BCN1015-EB,7750,10.190.0.21,standard_network_PS:no_rate_limit
TORMTX-TOR250-CB,7750,10.190.0.210,standard_network_PS:no_rate_limit
GOMPAL-TOR253-GA,7750,10.190.0.211,standard_network_PS:no_rate_limit
PARIND-TOR265-GA,7750,10.190.0.212,standard_network_PS:no_rate_limit
AIRSOU-TOR256-GA,7750,10.190.0.213,standard_network_PS:no_rate_limit
BOLONI-TOR261-GA,7750,10.190.0.214,standard_network_PS:no_rate_limit
