Sysname,model,source,description
TIJMTX-BCN1015-CA,7750,10.190.0.0,7x50_Standard_IPMEAN_port_queues
TIJMTX-BCN1015-CB,7750,10.190.0.1,7x50_Standard_IPMEAN_port_queues
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,7x50_Standard_IPMEAN_port_queues
CULMTX-CUL011-CA,7750,10.190.0.100,7x50_Standard_IPMEAN_port_queues
CULMTX-CUL011-CB,7750,10.190.0.101,7x50_Standard_IPMEAN_port_queues
DIAMAN-CUL008-GA,7750,10.190.0.102,7x50_Standard_IPMEAN_port_queues
TV_AZT-CUL003-GA,7750,10.190.0.103,7x50_Standard_IPMEAN_port_queues
INDEPE-CUL002-GA,7750,10.190.0.104,7x50_Standard_IPMEAN_port_queues
CULGTA-IUSTB00921-WA,7750,10.190.0.105,7x50_Standard_IPMEAN_port_queues
MAZMTX-MAZ220-GA,7750,10.190.0.106,7x50_Standard_IPMEAN_port_queues
SOVADO-MAZ224-GA,7750,10.190.0.107,7x50_Standard_IPMEAN_port_queues
ZAPATA-MAZ222-GA,7750,10.190.0.108,7x50_Standard_IPMEAN_port_queues
GUAYMA-GUY480-GA,7750,10.190.0.109,7x50_Standard_IPMEAN_port_queues
OBRMTX-CDO531-GA,7750,10.190.0.110,7x50_Standard_IPMEAN_port_queues
MAGIST-GML120-GA,7750,10.190.0.111,7x50_Standard_IPMEAN_port_queues
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,7x50_Standard_IPMEAN_port_queues
MOCMTX-LML169-GA,7750,10.190.0.113,7x50_Standard_IPMEAN_port_queues
VILSOL-LML167-GA,7750,10.190.0.114,7x50_Standard_IPMEAN_port_queues
NAVOJO-NVJ468-GA,7750,10.190.0.115,7x50_Standard_IPMEAN_port_queues
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,7x50_Standard_IPMEAN_port_queues
NOGALE-NOG001-GA,7750,10.190.0.118,7x50_Standard_IPMEAN_port_queues
OBRGTA-IUSTB00924-WA,7750,10.190.0.119,7x50_Standard_IPMEAN_port_queues
HERMTX-HMO404-GA,7750,10.190.0.120,7x50_Standard_IPMEAN_port_queues
CULTUR-HMO437-GA,7750,10.190.0.121,7x50_Standard_IPMEAN_port_queues
NAVGTA-IUSTB00923-WA,7750,10.190.0.122,7x50_Standard_IPMEAN_port_queues
